Sentence,Label
You have?,jorah mormont
I have.,daenerys targaryen
"Without you there to rule, Khaleesi, I fear the masters will simply bide their time, wait for the invaders to leave and reassert control.",jorah mormont
"That is why I've ordered Daario to execute every master in Yunkai. The masters tear babies from their mothers' arms. They mutilate little boys by the thousands. They train little girls in the art of pleasuring old men. They treat men like beasts, as you said yourself.",daenerys targaryen
"Herding the masters into pens and slaughtering them by the thousands is also treating men like beasts. The slaves you freed, brutality is all they've ever known. If you want them to know something else, you'll have to show it to them.",jorah mormont
And repay the slavers with what? Kindness? A fine? A stern warning?,daenerys targaryen
"It's tempting to see your enemies as evil, all of them, but there's good and evil on both sides in every war ever fought.",jorah mormont
Let the priests argue over good and evil. Slavery is real. I can end it. I will end it. And I will end those behind it.,daenerys targaryen
"I sold men into slavery, Khaleesi.",jorah mormont
And now you are helping me show them to freedom.,daenerys targaryen
I wouldn't be here to help you if Ned Stark had done to me what you want to do to the masters of Yunkai.,jorah mormont
The man who came to me the other day about burying his father.,daenerys targaryen
Hizdahr zo Loraq?,jorah mormont
He will accompany the Second Sons and serve as my ambassador to Yunkai. He will tell the masters what has happened in Meereen. He will explain the choice they have before them. They can live in my new world or they can die in their old one.,daenerys targaryen
"Well, go and catch Daario before he leaves. Tell him I changed my mind.",daenerys targaryen
"Yes, Khaleesi.",jorah mormont
No. Tell him you changed my mind.,daenerys targaryen
"You're doing it wrong. You need to burn away that horrible bit there. Otherwise it's gonna get infected and fester. I know you don't like fire, but if you don't do it right-",arya stark
It'll only take a second. It won't hurt that much.,arya stark
Why?,arya stark
Let me wash it out and help you sew it up at least.,arya stark
Bit of comfort never hurt anyone. We've been sleeping in ditches the last few weeks. I think we can treat ourselves to a featherbed for the night and a hot meal not cooked by you.,brienne
Just don't start expecting silk underclothes. Not working for your former lord any longer.,brienne
Don't get drunk.,brienne
"No, this will do nicely, thank you. Kidney pie is wonderful.",brienne
No.,brienne
We're looking for someone.,brienne
"A girl, tall, red hair, very pretty. Her name is Sansa Stark, but she may be using a different name.",brienne
I pledged my life to their mother Catelyn Stark. I swore to her I'd bring her daughters home.,brienne
What?,brienne
You wouldn't be screwing your face up like that if it was nothing.,brienne
You're not interesting enough to be offensive.,brienne
What about? Not kidney pie.,brienne
No one's seen Arya Stark since her father was beheaded. She's presumed dead.,brienne
When was that?,brienne
So what happened to her?,brienne
The quick version.,brienne
"Um, you were saying?",brienne
"Her mother's dead, grandfather's dead, Walder Frey is the new lord of Riverrun. The Brotherhood isn't going to Riverrun.",brienne
Why the Eyrie?,brienne
"Sansa could be there, too.",brienne
You sure about this?,brienne
I imagined you'd be back at the brothel at this hour.,tyrion lannister
"Mm, do tell. I've got every kind of filth down here except the kind I like.",tyrion lannister
Oh.,tyrion lannister
Making honest feelings do dishonest work is one of her many gifts.,tyrion lannister
She didn't need to bother you. It looks as though I've taken care of that myself. The joy she will feel when my head leaves my neck. She's wanted this for a long time.,tyrion lannister
I think I would have remembered that.,tyrion lannister
You and my family have more in common than you might admit.,tyrion lannister
That would have made things so much easier.,tyrion lannister
"Well... sooner or later, Cersei always gets what she wants.",tyrion lannister
"If you want justice, you've come to the wrong place.",tyrion lannister
"Hello, Robin.",sansa stark
"I'm building my home, Winterfell. At least I think I am. I haven't been back there in a very long time.",sansa stark
It's a long story.,sansa stark
"Yes, you certainly are.",sansa stark
Probably never. My family doesn't live there anymore and someone burned it down.,sansa stark
"No, I'm afraid not. It's not high up in the mountains. It's down on the ground.",sansa stark
We don't.,sansa stark
I never did anything with them at all. Girls didn't take part in that where I came from.,sansa stark
I like the sound of that.,sansa stark
All right.,sansa stark
Careful. You've ruined it. Now I'm going to have to rebuild the whole thing.,sansa stark
You did.,sansa stark
Knocking things down isn't fixing them. It's ruining them.,sansa stark
You're being stupid.,sansa stark
"Robin, I'm sorry, I-",sansa stark
Children.,petyr baelish
I hit him.,sansa stark
"Yes, I saw.",petyr baelish
I shouldn't have done that.,sansa stark
"No, his mother should have a long time ago. Consider it a step in the right direction.",petyr baelish
If he tells Aunt Lysa...,sansa stark
Let me worry about Aunt Lysa.,petyr baelish
I was trying to remember what everything looked like. I'll never see it again.,sansa stark
"A lot can happen between now and never. If you want to build a better home, first you must demolish the old one.",petyr baelish
Why did you really kill Joffrey? Tell me why.,sansa stark
"I loved your mother more than you could ever know. Given the opportunity, what do we do to those who've hurt the ones we love? In a better world, one where love could overcome strength and duty, you might have been my child. But we don't live in that world.",petyr baelish
You're more beautiful than she ever was.,petyr baelish
Lord Baelish...,sansa stark
Call me Petyr.,petyr baelish
"You wanted to see me, Aunt Lysa?",sansa stark
No.,sansa stark
"I'm so sorry, Aunt Lysa. I never should have hit Robin, I know it. I promise it won't happen-",sansa stark
I didn't. You don't understand.,sansa stark
He kissed me. I pulled away.,sansa stark
Please!,sansa stark
Lysa! Let her go.,petyr baelish
Let her go.,petyr baelish
"I'll send her away. I swear on my life. I swear to all the gods. Let her go, Lysa.",petyr baelish
"Oh, my sweet wife. My sweet, silly wife.",petyr baelish
"I have only loved one woman... only one, my entire life. Your sister.",petyr baelish
I should never have left her there.,sam
You couldn't have known.,jon snow
Of course I couldo ve known. They were raiding the villages close by.,sam
She's dead because of me.,sam
"We can't go after them, you know that. That's what they want.",jon snow
Little Same. As if I'd cut their throats myself.,sam
She might have.,sam
"If they hit Mole's Town, then we're next. Mance's army must be close.",jon snow
You think he was spying on you?,daenerys targaryen
The Dothraki think outsiders are ridiculous taking shame in the naked body. They make love under the stars for the whole Khalasar to see.,daenerys targaryen
But you are not Dothraki.,daenerys targaryen
"Well, I don't see why it matters. Grey worm isn't interested, none of the unsullied care what's under our clothes.",daenerys targaryen
What?,daenerys targaryen
"When the slavers castrate the boys, do they take all of it?",daenerys targaryen
The...the pillar an the stones.,daenerys targaryen
Haven't you ever wondered?,daenerys targaryen
"I'm Theon Greyjoy, son of Balon, heir to the Iron Islands.",theon greyjoy
I'm Reek.,theon greyjoy
Always. Forever.,theon greyjoy
Yes.,theon greyjoy
I was born on Pike to Balon Greyjoy. His third and last-living son. I am your prince. I swear it by the drowned god. What is dead may never die.,theon greyjoy
Lord Bolton took me captive after Winterfell. He sent me to treat with you in good faith as your fellow Ironborn.,theon greyjoy
You are fading from sickness. You are badly outnumbered and you're hundreds of miles from the sea. Lord Bolton implores you to protect your men and abandon this fortress you can no longer hold. Do this and he will be just and fair with you as he is being with me. The Boltons will give you safe passage to the stony shore.,theon greyjoy
"My own father, your king, surrendered years ago to Robert Baratheon. I watched him bend the knee. There was no shame there. He fought with honor, as did you.",theon greyjoy
"I'm sorry, I didn't hear...",theon greyjoy
scared* You don't know.,theon greyjoy
whispering* Reek. Reek.,theon greyjoy
Reek.,theon greyjoy
Yes. Have your men raise the white flag and open the gates. You're going home.,theon greyjoy
Yes m'lord. Will we go home now?,theon greyjoy
He can stay.,sansa stark
"to Petyr* I'm sorry, Lord Baelish. I have to tell the truth. *to the council* I'll tell you everything.",sansa stark
"My name is not Alayne. It's Sansa Stark, eldest daughter of Lord Eddard Stark. Lord Royce, we met when you came to Winterfell. You were escorting your son Ser Waymar to the Wall.",sansa stark
"Lord Baelish has told many lies. All to protect me. Since my father was executed, I have been a hostage in King's Landing. A plaything for Joffrey to torture or Queen Cersei to torment. They beat me, they humiliated me, they married me to the Imp. I had no friends in King's Landing...except one. He saved me. Smuggled me away when he had the chance. He knew I'd be safe here in the Eyrie with my own blood, my Aunt Lysa. The Lannisters have friends everywhere. Even the Vale. He made me swear not to tell anyone my true name.",sansa stark
"You knew her well, my lords, my lady. You knew she was a troubled woman. She always loved Lord Baelish. She told me herself. From the moment he arrived at the gates of Riverrun, a boy of eight carrying everything he owned in a little sack. She confessed to me she never loved Lord Arryn. She did as her father commanded, as so many of us have. When the gods finally allowed her to be with Lord Baelish, she was so happy. For a time. My aunt was a jealous lady. She was terrified that Lord Baelish didn't love her anymore. That he would abandon her for a younger woman. And then...one day she saw him kiss me.",sansa stark
"It was a peck on the cheek, Lord Royce, nothing more. Lord Baelish is my uncle now, in truth, by marriage. He's always been so kind to me. I was so happy to be here, to be free. All because of him. But my aunt turned on me. She cursed me. Called me a whore. Promised to throw me through the Moon Door. When Lord Baelish tried to calm her, she struck him. She said she didn't want to live anymore. She stood on the edge of that Moon Door. He tried to reason with her. Promised her she was the only one he had ever loved, but she stepped through those doors and she was...*begins sobbing*",sansa stark
Why did the usurper pardon you?,daenerys targaryen
"No, speak to me here. Explain it to me.",daenerys targaryen
The pardon was signed the year we met. Why were you pardoned? Unless you're saying this document was forged.,daenerys targaryen
"Why, then?",daenerys targaryen
What was the content of these letters?,daenerys targaryen
What information?,daenerys targaryen
You told him I was carrying Drogo's child?,daenerys targaryen
Yes or no?,daenerys targaryen
Don't call me that. Did you tell him I was carrying Drogo's child?,daenerys targaryen
That wine merchant tried to poison me because of your information.,daenerys targaryen
Because you knew it was poisoned.,daenerys targaryen
You betrayed me from the first.,daenerys targaryen
You sold my secrets to the man who killed my father and stole my brother's throne...,daenerys targaryen
and you want me to forgive you?,daenerys targaryen
"Love? Love? How can you say that to me? Any other man, and I would have you executed. But you, I do not want you in my city dead or alive. Go back to your masters in King's Landing. Collect your pardon if you can.",daenerys targaryen
"Don't ever presume to touch me again or speak my name. You have until dusk to collect your things and leave this city. If you're found in Meereen past break of day, I'll have your head thrown into Slaver's Bay. Go. Now.",daenerys targaryen
Yes?,sansa stark
They would have thrown you through the Moon Door if they found you guilty.,sansa stark
"If they'd have executed you, what would they have done with me?",sansa stark
Neither do I.,sansa stark
I know what you want.,sansa stark
Lots of things make me happy.,arya stark
"Killing Polliver, killing Rorge.",arya stark
At least I could have been there to watch. I wanted to see the look in his eyes when he knew it was over.,arya stark
You protected him for most of his life. You think you could have saved him?,arya stark
That's your stupid pride talking. It's why you'll never be a great killer. I'd have killed Joffrey with a chicken bone if I had to.,arya stark
You should have let me burn it.,arya stark
That fleabite's got you walking a lot slower than you used to.,arya stark
You really think my aunt will pay for me?,arya stark
I've never even met her.,arya stark
I'm not a lady.,arya stark
Shall we go?,sansa stark
Wine always helps. I thank you for it. Trial by combat. Deciding a man's guilt or innocence in the eyes of the gods by having two other men hack each other to pieces. Tells you something about the gods. How much longer?,tyrion lannister
Soon.,jaime lannister
"Do you think Oberyn has a chance? The Red Viper of Dorne. You don't get a name like that unless you're deadly, right?",tyrion lannister
I've never seen him fight.,jaime lannister
"Oh, he's going to die. I'm going to die.",tyrion lannister
Oberyn believes in himself.,jaime lannister
That's putting it mildly. What's the punishment for regicide? Drawing and quartering? Hanging? Breaking at the wheel?,tyrion lannister
Beheading.,jaime lannister
"Seems rather ordinary. And he was my nephew as well, so what is that? Fratricide is brothers. Filicide is sons. Nepoticide. That's the one. Matricide, patricide, infanticide, suicide. There's no kind of killing that doesn't have its own word.",tyrion lannister
Cousins.,jaime lannister
"Cousins, you're right. There is no word for cousin killing. Well done. Do you remember cousin Orson? Orson Lannister?",tyrion lannister
Of course. Wet-nurse dropped him on his head. Left him simple.,jaime lannister
Simple? Used to sit all day in the garden. Crushing beetles with a rock.,tyrion lannister
Nothing made him happier.,tyrion lannister
Nothing made you happier. You'd think being tormented from birth would have given you some affinity for the afflicted.,jaime lannister
On the contrary. Laughing at another person's misery was the only thing that made me feel like everyone else.,tyrion lannister
"The joke wore thin, though.",jaime lannister
For you. You drifted away.,tyrion lannister
I had other interests.,jaime lannister
"Yes, other interests. But I stayed with Orson.",tyrion lannister
Why?,jaime lannister
"I was curious. Why was he smashing all those beetles? What did he get out of it? First thing I did was ask him. ""Orson, why are you smashing all those beetles?"" He gave me an answer. ""Smash the beetles. Smash 'em. Khuu! Khuu! Khuu!"" I wasn't deterred. I was the smartest person I knew. Certainly I had the wherewithal to unravel the mysteries that lay at the heart of a moron. So I went to Maester Volarik's library.",tyrion lannister
Volarik. Tried to touch me once.,jaime lannister
"Turns out, far too much has been written about great men and not nearly enough about morons. Doesn't seem right. In any case, I found nothing that illuminated the nature of Orson's affliction or the reason behind his relentless beetle slaughter. So I went back to the source. I may not have been able to speak with Orson, but I could observe him, watch him the way men watch animals to come to a deeper understanding of their behavior. *picks up a beetle* And as I watched, I became more and more sure of it. There was something happening there. His face was like the page of a book written in a language I didn't understand. But he wasn't mindless. He had his reasons. And I became possessed with knowing what they were. I began to spend inordinate amounts of time watching him. I would eat my lunch in the garden, chewing my mutton to the music of ""khuu, khuu, khuu"". And when I wasn't watching him, I was thinking about him. Father droned on about the family legacy and I thought about Orson's beetles. I read the histories of Targaryen conquests. Did I hear dragon wings? No. I heard ""khuu, khuu, khuu"" and I still couldn't figure out why he was doing it. And I had to know, because it was horrible that all these beetles should be dying for no reason.",tyrion lannister
"Every day around the world, men, women, and children are murdered by the score. Who gives a dusty fuck about a bunch of beetles?",jaime lannister
"I know, I know. But still, it filled me with dread. Piles and piles of them, years and years of them. How many countless living crawling things smashed and dried out and returned to the dirt? In my dreams I found myself standing on a beach made of beetle husks stretching as far as the eye could see. I woke up crying, weeping for their shattered little bodies. I tried to stop Orson once.",tyrion lannister
He was twice your size.,jaime lannister
"He just pushed me aside with a ""khuu"" and kept on smashing. Every day until that mule kicked him in the chest and killed him. *puts the beetle back on the ground* So what do you think? Why did he do it? What was it all about?",tyrion lannister
I don't know.,jaime lannister
Good luck today.,jaime lannister
Looks like very light armor.,tyrion lannister
You could at least wear a helmet. You shouldn't drink before a fight.,tyrion lannister
It could get you killed. It could get me killed.,tyrion lannister
Thank the gods.,tyrion lannister
"standing up* The gods have made their will known. Tyrion Lannister, in the name of King Tommen of the House Baratheon, First of His Name, you are hereby sentenced to death.",tywin lannister
What was she like?,sam
She...she had red hair.,jon snow
Oh? How big were her feet?,sam
Well what do you want me to say?,jon snow
I want you to tell me what it was like to have someone. To be with someone. To love someone and have them love you back. We're all gonna die a lot sooner than I'd planned. You're the closest I'll ever get to know it.,sam
So you and Gilly never-,jon snow
No...she just had a baby! ...and she never offered.,sam
"But if she had, you wouldo ve? You'd have broken your vows?",jon snow
"The interesting thing is, our vows never specifically forbid intimate relations with women.",sam
What?,jon snow
"I shall take no wife"" yes, that's in there, there's no denying that. ""I shall father no children"" it's very specific. But what our vows have to say about other...activities...is open to interpretation.",sam
I don't think Ser Alliser cares much for interpretation.,jon snow
"Anyway, there's nothing for him to interpret. We didn't. So what's it like?",sam
"It's...there's this person, this whole other person. And you're wrapped up in them and they're wrapped up in you and...you...for a little...for a little while you're more than just you, you're...well I don't know, I'm not a bleedin' poet!",jon snow
"No, you're really not.",sam
And what did I get for it? An arrow six inches from my heart.,jon snow
There'll be arrows for all of us soon I imagine.,sam
There will.,jon snow
They've already done the worst thing to me they could ever do.,sam
"Go get some sleep, Sam. I'll take this watch.",jon snow
Maester Aemon. How did you know-,sam
Let me help you.,sam
Maester Faull,sam
But what he says about what they do...it's all true. It's exactly what the survivors of their raids report.,sam
I don't love her.,sam
No.,sam
You were?,sam
"I'm sorry Maester, I didn't mean it like that.",sam
Who was she?,sam
Pyp! Open the gate.,sam
Yes!,sam
"Oh, Pyp. Open the fucking gate!",sam
"Yes, well, best get used to it.",sam
"Are you alright? Shh, you're alright. Yeah, of course you are my brave little fella.",sam
I'm so so sorry. I didn't know until I got back.,sam
Never.,sam
"Anyone who tries to throw you out will be having words with me. From now on, wherever you go, I go too.",sam
"There we go, boys. That's one. There's two. Come on, let's get the next lot. That's the last of the oil, Ser Alliser.",jon snow
Yes sir.,jon snow
"It was a difficult decision either way, Ser.",jon snow
You'll be safe down here. I'll check on you as soon as I can.,sam
I'm not leaving you!,sam
I...I didn't mean in the same room.,sam
Help my brothers.,sam
I can't just hide here with you while they're fighting out there.,sam
"Look. I am a man of the Night's Watch, Gilly. I made a promise to defend The Wall and I have to keep it, because that's what men do.",sam
I promise you I won't die.,sam
There's a lot more Wildlings on the other side of the wall than this side. We've got us some weapons and things. This is the perfect place for us to be.,sam
"Of course I'm afraid, there's a band of Wildlings coming to kill us.",sam
"I didn't know I was going to kill it, but I had to do something I didn't have any choice, he was going to kill Gilly and take the baby. If someone had asked me my name right then, I wouldn't have known. I wasn't Samwell Tarly anymore. I wasn't a Steward in the Night's Watch or son of Randyll Tarly or any of that. I was nothing at all. And when you're nothing at all, there's no more reason to be afraid.",sam
"Yes, well, I'm not nothing anymore.",sam
Did you get one?,sam
Yeah?,sam
If you keep missing we will.,sam
We can't just let them attack the gate!,jon snow
"Those are giants riding mammoths down there. Do you think your cold, rolled steel's gonna stop them?",jon snow
Archers! Knock your arrows! Draw! Loose!,jon snow
They won't summit before dawn.,jon snow
Because I've made that claim.,jon snow
Knock! Draw! Loose!,jon snow
"Oh, is it over?",sam
Well then. *hands Pyp a loaded crossbow*,sam
"You're alright. You're alright. I'll get help. Shh, shh. Maester Aemon is coming, he's gonna make it alright.",sam
Now!,jon snow
"to Grenn* The outer gate won't hold. Take five men, hold the inner gate.",jon snow
grabs Grenn's arm* Hold the gate. If they make it through...,jon snow
Oil!,jon snow
to Grenn* We need more men down here.,sam
But we need men here.,sam
to Olly* Get me to the top! You hear me?!,sam
"Your name's Olly, right? Listen to me Olly, get me to the top and when we give a signal, bring us back down. Do you hear me?",sam
"And find a weapon, Olly. Fight them!",sam
What are you doing up here?,jon snow
The Wildlings are over the walls. Ser Alliser has fallen. The castle walls can't stand much longer.,sam
"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them.",jon snow
Two brothers now fight with me.,jon snow
to Sam* I don't want you out there.,jon snow
You can't protect me forever. There won't be anywhere to hide if the castle falls.,sam
I need him more than I need you.,jon snow
We need you boy.,sam
"No, shh, don't talk.",jon snow
We'll go back there.,jon snow
"Tormund. It's over, let it end.",jon snow
Put him in chains. We'll question him later.,jon snow
"Aye, you shouldo ve.",jon snow
"Woah! It's me. It's me. I promised you, didn't I?",sam
We held them off.,sam
For one night.,jon snow
This is a great victory.,sam
"Great victory? Mance was testing our defenses. He almost made it through. And he has more giants, he has more mammoths. He has a thousand times as many men. They'll hit us again tonight. Maybe we can hold them off for a day or two, but we can never beat them.",jon snow
Where are you going?,sam
I'm going to find Mance.,jon snow
To...you can't do that. No one gave you any orders.,sam
"Who's left to give orders? The Wildling army is only an army because of Mance. He united a hundred warring tribes. Without Mance they lose their leader. They lose their purpose, they go back to fighting each other, scatter back to their home.",jon snow
Without Mance? You're going to kill him?,sam
I'm going to try.,jon snow
"They'll never let you within a hundred yards of him. And if you did, even if you managed to kill him.",sam
He'll kill me. If I don't go he'll kill me anyway. They'll kill the rest of us too.,jon snow
He won't just kill ya. They'll boil you. They'll filet you. They'll make it last days!,sam
You're right. It's a bad plan. What's your plan?,jon snow
"They held the gate. Get some brothers down here to help you. You need to burn the bodies. Raise the outer gate, then lower it again as soon as I'm out.",jon snow
What are you doing?,sam
I promised Jeor I'd never lose it again. *he hands the sword to Sam* In case I don't come back.,jon snow
Jon. Come back.,sam
I've been sent to negotiate with you.,jon snow
"The Halfhand ordered me to join your army and bring back whatever information I could to Castle Black. He made me kill him so you'd trust me. I was loyal, to him and to my Night's Watch vows.",jon snow
She put three arrows in me when I escaped.,jon snow
Yes.,jon snow
She's dead.,jon snow
No.,jon snow
Ygritte.,jon snow
That's not wine.,jon snow
He's dead. He killed my friend Grenn.,jon snow
Grenn came from a farm.,jon snow
Grenn and Mag.,jon snow
Turn your army around and go home.,jon snow
I told Tormund and Orell. We have more than a thousand men.,jon snow
"No, it's like you said, we don't have the men.",jon snow
You're the king beyond the wall?,stannis baratheon
You know who I am?,stannis baratheon
"This is Stannis Baratheon, the one true king of the seven kingdoms.",davos
It is customary to kneel when surrendering to a king.,stannis baratheon
"I'll have thousands of your men in chains by nightfall, I'll have nowhere to put them and nothing to feed them. I'm not here to slaughter beat dogs. Their fate depends on their king.",stannis baratheon
Take these men away.,stannis baratheon
What are men of the Night's Watch doing in a Wildling camp?,davos
I was sent to discuss terms with the king beyond the wall.,jon snow
You're speaking to the one true king boy. You'll address him as your grace.,davos
"I know he's the king. My father died for him. My name is Jon Snow, your grace. I'm Ned Stark's son.",jon snow
Your father was an honorable man.,stannis baratheon
"He was, your grace.",jon snow
What do you think he'd have done with him?,stannis baratheon
"I was this man's prisoner once. He couldo ve tortured me, he couldo ve killed me, but he spared my life. I think my father wouldo ve taken him prisoner, listened to what he had to say.",jon snow
Very well. *to Davos* Take him.,stannis baratheon
"Your grace. If my father'd seen the things that I've seen, he'd also tell you to burn the dead before nightfall. All of them.",jon snow
Bloody Martells.,cersei lannister
"You're dismissed, Grand Maester.",cersei lannister
Not anymore.,cersei lannister
You can save him?,cersei lannister
Do everything you can. Come to me with anything you need.,cersei lannister
Will it weaken him?,cersei lannister
Very well then.,cersei lannister
"Not another word. We've been over this, the matter's closed.",tywin lannister
I'm opening it again.,cersei lannister
You are betrothed to Loras Tyrell. Still betrothed to Loras Tyrell and you will marry Loras Tyrell as soon as Tommen marries Margaery.,tywin lannister
I will not.,cersei lannister
"Jaime cannot marry or inherit lands. Tyrion's sentence will be carried out tomorrow. You have, on several occasions, made great claims about your commitment to this family's future. Your role in that future is more vital now than it ever was.",tywin lannister
"I don't care. I will stay in King's Landing where I belong with my son, the king.",cersei lannister
"When you were nine years old, I was called to the capital. I decided to take your brother with me and not you. You insisted that you would not be left at Casterly Rock under any circumstances and if you recall-",tywin lannister
I'm not interested in hearing another one of your smug stories about the time you won. This isn't going to be one of those times.,cersei lannister
Do you think you'll be the first person dragged into a sept to be married against her will?,tywin lannister
"When you marched into the throne room to tell me we'd won the Battle at Blackwater, do you remember?! I was sitting on the iron throne with Tommen. I was about to give him essence of nightshade, that's how far I was willing to go when I thought someone awful had come to take my son away. Someone awful is coming to take him away.",cersei lannister
No.,tywin lannister
"Joffrey is dead. Myrcella's been sold like livestock. And now you want to ship me off to Highgarden and steal my boy, my last boy. Margaery will dig her claws in and you will dig your claws in and you will fight over him like beasts until you rip him apart. I will burn our house to the ground before I let that happen.",cersei lannister
And how will you do that?,tywin lannister
I'll tell everyone the truth.,cersei lannister
And what truth would that be?,tywin lannister
"You don't know, do you? You never believed it. How is that possible? What am I saying, of course it's possible. How can someone so consumed by the idea of his family have any conception what his actual family was doing? We were right there in front of you and you didn't see us. One look in the past twenty years, one real look and you wouldo ve known.",cersei lannister
Known what?,tywin lannister
Everything they say is true. About Jaime and me.,cersei lannister
"No, no, no, no, no.",tywin lannister
Your legacy is a lie.,cersei lannister
I don't believe you.,tywin lannister
Yes you do.,cersei lannister
Jaime.,cersei lannister
"You won. One fewer brother. Must be proud of yourself. There's really nothing you wouldn't do, is there?",jaime lannister
"For my family, no. I would do things for my family you couldn't imagine.",cersei lannister
Tyrion is your family.,jaime lannister
He's not.,cersei lannister
You don't get to choose.,jaime lannister
"I do, so do you. You can choose the creature that killed our mother to come into this world-",cersei lannister
Are you really mad enough to blame him for that? He didn't decide to kill her. He was an infant.,jaime lannister
"A disease doesn't decide to kill you, all the same you cut it out before it does. What do you decide? What do you choose?",cersei lannister
"The things I did to get back to you, to endure all that, only to find you-",jaime lannister
I choose you.,cersei lannister
Those are words.,jaime lannister
Yes. Like the ones I just said to father. I told him.,cersei lannister
Told him what?,jaime lannister
I told him about us.,cersei lannister
You told him?,jaime lannister
"I told him I wouldn't marry Loras Tyrell. I told him I'm staying right here with Tommen, with you.",cersei lannister
You think he'll just accept that?,jaime lannister
Go and ask him.,cersei lannister
What did you say?,jaime lannister
"I don't want to talk about Tywin Lannister. I don't choose Tywin Lannister, I don't love Tywin Lannister. I love my brother. I love my lover. People will whisper, they'll make their jokes. Let them. They're all so small I can't even see them. I only see what matters.",cersei lannister
Someone will walk in.,jaime lannister
I don't care.,cersei lannister
You speak it very well.,daenerys targaryen
I hope I can prove worthy of her admiration. What can I do for you?,daenerys targaryen
I have outfitted mess halls to feed all former slaves and barracks to shelter them.,daenerys targaryen
"My Unsullied will make them safe again in short order my friend, this I promise you.",daenerys targaryen
What is it that you want from me?,daenerys targaryen
"You want to return to a man who owned you, like a goat or a chair?",daenerys targaryen
I did not take this city to preside over the injustice I fought to destroy. I took it to bring people freedom. But freedom means making your own choices. I will allow you to sign a contract with your former master. It may not cover a period lasting longer than a year.,daenerys targaryen
Approach my friend.,daenerys targaryen
What was her name?,daenerys targaryen
How old was she?,daenerys targaryen
Three. *in Valyrian* And still no word on Drogon?,daenerys targaryen
in Valyrian* Meet me in the catacombs.,daenerys targaryen
"He's sworn to treat all wounded men, friend or foe.",jon snow
No one's going to torture you.,jon snow
I don't know what happens to the prisoners.,jon snow
I suppose Stannis does.,jon snow
I don't have a king.,jon snow
We're gonna burn the bodies of your dead. Do you want to say any words over them?,jon snow
Funeral words. I don't know how the Free Folk do it.,jon snow
Say farewell.,jon snow
She told you?,jon snow
Podrick. Podrick! Where are the horses?,brienne
What sort of hobble?,brienne
If you did it like I taught you then the horses would be here.,brienne
It's at least thirty miles to the Eyrie from here. You're carrying the saddle bags.,brienne
"People coming. You can shit later, there's people coming!",arya stark
Morning!,brienne
Morning.,arya stark
I like your sword. Are we getting close to the bloody gate?,brienne
About ten more miles.,arya stark
Did you hear that Podrick? Only about ten more miles to the Bloody Gate.,brienne
Are you a knight?,arya stark
No.,brienne
But you know how to use that sword.,arya stark
I do.,brienne
Does it have a name?,arya stark
Oathkeeper.”,brienne
Mine's “Needle.”,arya stark
Good name.,brienne
Who taught you how to fight?,arya stark
My father.,brienne
Mine never wanted to. Said fighting was for boys.,arya stark
"Mine said the same. But I kept fighting the boys anyway. Kept losing. Finally my father said, “If you're going to do it, you might as well do it right.”",brienne
"Seven blessings. I'm Brienne of Tarth, this is Podrick Payne.",brienne
You're Arya Stark.,brienne
I swore to your mother I would bring you home to her.,brienne
My mother's dead.,arya stark
I know. I wish I couldo ve been there to protect her.,brienne
You're not a northerner.,arya stark
"I know, but I swore a sacred vow to protect her.",brienne
Why didn't you?,arya stark
She commanded me to bring Jaime Lannister back to King's Landing.,brienne
I'm not paid by the Lannisters.,brienne
Jaime Lannister gave me this sword.,brienne
The Bloody Gate's ten miles.,arya stark
I swore to your mother by the Old Gods and the New -,brienne
I don't care what you swore!,arya stark
Arya!,brienne
She is.,brienne
Come with me Arya. I'll take you to safety.,brienne
And that's what you're doing? Watching over her?,brienne
I have no wish to kill you Ser.,brienne
Arya! Arya! ARYA! Where is she?,brienne
Why weren't you watching her?,brienne
Which way Pod? Which way did she go?,brienne
I don't need saving.,arya stark
You're gonna die?,arya stark
I'll last longer than you.,arya stark
"Oh, get on with it you son of a whore.",tyrion lannister
Is that any way to speak about our mother?,jaime lannister
What're you doing?,tyrion lannister
What do you think I'm doing? The galley's waiting in the bay bound for the Free Cities.,jaime lannister
Who's helping you?,tyrion lannister
Varys.,jaime lannister
Varys?,tyrion lannister
You have more friends than you thought.,jaime lannister
"There's a locked door at the top of the stairs. Knock on it twice, and then twice again. Varys will open.",jaime lannister
"I suppose this is goodbye, then.",tyrion lannister
"Farewell, little brother.",jaime lannister
"Jaime, thank you. For my life.",tyrion lannister
Quickly now.,jaime lannister
I'm sorry. I'm sorry.,tyrion lannister
"Tyrion! Put down the crossbow. Who released you? Ah, your brother ,I expect. He always had a soft spot for you. Come, we'll go and talk in my chambers. Is this how you want to speak to me? Shaming your father has always given you pleasure…",tywin lannister
"All my life, you've wanted me dead.",tyrion lannister
"Yes. But you refused to die. I respect that, even admire it. You fight for what's yours. I'd never let them execute you; is that what you fear? I'd never let Illyn Payne take your head. You're a Lannister. You're my son.",tywin lannister
I loved her.,tyrion lannister
Who?,tywin lannister
Shae.,tyrion lannister
"Bah, Tyrion. Put down that crossbow.",tywin lannister
I murdered her. With my own hands.,tyrion lannister
It doesn't matter.,tywin lannister
It doesn't matter?,tyrion lannister
She was a whore!,tywin lannister
Say that word again.,tyrion lannister
